,排名,学校名称,学校英文名,评分,城市/州
1,1,卡耐基梅隆大学,Carnegie Mellon University,5,"Pittsburgh, PA"
2,1,麻省理工学院,Massachusetts Institute of Technology,5,"Cambridge, MA"
3,1,斯坦福大学,Stanford University,5,"Stanford, CA"
4,1,加州大学伯克利分校,University of California--Berkeley,5,"Berkeley, CA"
5,5,伊利诺伊大学厄本那-香槟分校,University of Illinois--Urbana-Champaign,4.6,"Urbana, IL"
6,6,康奈尔大学,Cornell University,4.5,"Ithaca, NY"
7,6,华盛顿大学,University of Washington,4.5,"Seattle, WA"
8,8,佐治亚理工学院,Georgia Institute of Technology,4.4,"Atlanta, GA"
9,8,普林斯顿大学,Princeton University,4.4,"Princeton, NJ"
10,10,德克萨斯大学奥斯汀分校,University of Texas--Austin,4.3,"Austin, TX"
11,11,加州理工学院,California Institute of Technology,4.2,"Pasadena, CA"
12,11,密歇根大学安娜堡分校,University of Michigan--Ann Arbor,4.2,"Ann Arbor, MI"
13,13,哥伦比亚大学,Columbia University,4.1,"New York, NY"
14,13,加州大学洛杉矶分校,University of California--Los Angeles,4.1,"Los Angeles, CA"
15,13,威斯康辛大学麦迪逊分校,University of Wisconsin--Madison,4.1,"Madison, WI"
16,16,哈佛大学,Harvard University,4,"Cambridge, MA"
17,16,加州大学圣地亚哥分校,University of California--San Diego,4,"La Jolla, CA"
18,16,马里兰大学学院公园分校,University of Maryland--College Park,4,"College Park, MD"
19,19,宾夕法尼亚大学,University of Pennsylvania,3.8,"Philadelphia, PA"
20,20,普渡大学西拉法叶分校,Purdue University--West Lafayette,3.7,"West Lafayette, IN"
21,20,莱斯大学,Rice University,3.7,"Houston, TX"
22,20,马萨诸塞大学阿默斯特分校,University of Massachusetts--Amherst,3.7,"Amherst, MA"
23,20,南加州大学,University of Southern California,3.7,"Los Angeles, CA"
24,20,耶鲁大学,Yale University,3.7,"New Haven, CT"
25,25,布朗大学,Brown University,3.6,"Providence, RI"
26,25,杜克大学,Duke University,3.6,"Durham, NC"
27,25,约翰霍普金斯大学,Johns Hopkins University,3.6,"Baltimore, MD"
28,25,北卡罗来纳大学教堂山分校,University of North Carolina--Chapel Hill,3.6,"Chapel Hill, NC"
29,29,明尼苏达大学双城分校,University of Minnesota--Twin Cities,3.5,"Minneapolis, MN"
30,30,纽约大学,New York University,3.4,"New York, NY"
31,30,西北大学,Northwestern University,3.4,"Evanston, IL"
32,30,俄亥俄州立大学,Ohio State University,3.4,"Columbus, OH"
33,30,宾州州立大学公园分校,Pennsylvania State University--University Park,3.4,"University Park, PA"
34,30,加州大学尔湾分校,University of California--Irvine,3.4,"Irvine, CA"
35,30,芝加哥大学,University of Chicago,3.4,"Chicago, IL"
36,30,弗吉尼亚大学,University of Virginia,3.4,"Charlottesville, VA"
