,,,,,Fall,Spring
31,30,Northwestern University,3.4,"Evanston,??IL",28-Feb-20,
32,30,Ohio State University,3.4,"Columbus,??OH",31-Jan-20,
33,30,Pennsylvania State University--University Harrisburg,3.4,"University Park,??PA",31-May-20,
34,30,University of California--Irvine,3.4,"Irvine,??CA",15-Dec-19,
35,30,University of Chicago,3.4,"Chicago,??IL",31-May-20,
36,30,University of Virginia,3.4,"Charlottesville,??VA",1-Apr-20,
37,37,Rutgers,3.3,"Piscataway,??NJ",1-Feb-20,
38,37,University of California--Davis,3.3,"Davis,??CA",15-Jan-20,
39,37,University of California--Santa Barbara,3.3,"Santa Barbara,??CA",15-Dec-19,
40,40,Stony Brook University--SUNY,3.2,"Stony Brook,??NY",31-Dec-19,
41,40,University of Colorado--Boulder,3.2,"Boulder,??CO",15-Dec-19,
42,40,Virginia Tech,3.2,"Blacksburg,??VA",1-Aug-20,
43,43,Arizona State University,3.1,"Tempe,??AZ",1-Dec-19,
44,43,Dartmouth College,3.1,"Hanover,??NH",15-Dec-19,
45,43,North Carolina State University,3.1,"Raleigh,??NC",15-Dec-19,
46,43,Texas A&M University--College Station,3.1,"College Station,??TX",15-Jan-20,
47,43,University of Arizona,3.1,"Tucson,??AZ",,
48,43,University of Utah,3.1,"Salt Lake City??,??UT",1-Apr-20,1-Nov-20
49,49,Boston University,3,"Boston,??MA",1-May-20,
50,49,Northeastern University,3,"Boston,??MA",15-Apr-20,26-Oct-20
51,49,University of Florida,3,"Gainesville,??FL",1-Feb-20,1-Aug-20
52,49,University of Pittsburgh,3,"Pittsburgh,??PA",15-Jan-20,15-Jun-20
53,49,University of Rochester,3,"Rochester,??NY",15-Feb-20,
54,49,Washington University in St. Louis,3,"St. Louis,??MO",1-Mar-20,1-Aug-20
